BGGId,Name,Rating_2021,Rating_2025,rating_change
119890,Agricola: All Creatures Big and Small,7.1295,7.04957,-0.07993000000000006
257499,Arkham Horror (Third Edition),7.12637,7.13928,0.012910000000000643
219513,Bärenpark,7.12587,7.07448,-0.0513899999999996
234487,Altiplano,7.1209,7.03322,-0.08767999999999976
182134,Evolution: Climate,7.12013,6.98136,-0.13877000000000006
199042,Harry Potter: Hogwarts Battle,7.11863,7.0606,-0.05802999999999958
17392,Here I Stand,7.1174,6.97327,-0.14412999999999965
302723,Forgotten Waters,7.11531,7.15346,0.038149999999999906
184921,Bunny Kingdom,7.1139,7.10825,-0.005650000000000155
192458,51st State: Master Set,7.10816,7.03125,-0.07690999999999981
172,For Sale,7.1069,7.1373,0.030399999999999316
8217,San Juan,7.10491,7.05635,-0.04856000000000016
25554,Notre Dame,7.10382,7.03692,-0.06689999999999952
1,Die Macher,7.10363,6.99531,-0.10831999999999997
39683,At the Gates of Loyang,7.09717,7.02678,-0.07039000000000062
260605,Camel Up (Second Edition),7.09647,7.25199,0.1555200000000001
24480,The Pillars of the Earth,7.09612,7.03714,-0.05898000000000003
156546,Monikers,7.0925,7.19715,0.10464999999999947
250458,Gùgōng,7.09246,7.02622,-0.06623999999999963
33160,Endeavor,7.09229,6.99899,-0.09330000000000016
90137,Blood Bowl: Team Manager – The Card Game,7.09155,7.05026,-0.04129000000000005
230253,Star Realms: Frontiers,7.09028,7.18418,0.09389999999999965
50,Lost Cities,7.08937,7.14884,0.059470000000000134
246192,Gizmos,7.08717,7.07328,-0.013890000000000846
9217,Saint Petersburg,7.08682,7.02308,-0.06374000000000013
186751,Mythic Battles: Pantheon,7.08649,6.97717,-0.1093200000000003
31594,In the Year of the Dragon,7.08597,7.00614,-0.0798299999999994
204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.08533,6.96638,-0.11894999999999989
144592,Bruxelles 1893,7.08518,6.99062,-0.09456000000000042
234277,Nusfjord,7.08489,7.10479,0.019900000000000695
170771,Sword & Sorcery,7.08321,6.97499,-0.1082200000000002
188866,Awkward Guests,7.08158,7.10002,0.018440000000000012
21348,Ticket to Ride: Märklin,7.08022,7.00132,-0.07889999999999997
265736,Tiny Towns,7.07874,6.9945,-0.08423999999999943
256226,Azul: Stained Glass of Sintra,7.07835,6.99793,-0.08042000000000016
70323,King of Tokyo,7.0755,7.01389,-0.06160999999999994
63888,Innovation,7.07443,7.10182,0.02738999999999958
36932,Claustrophobia,7.07424,6.95371,-0.12052999999999958
40765,Clash of Cultures,7.07366,6.9607,-0.11296000000000017
297030,Tekhenu: Obelisk of the Sun,7.07348,7.06881,-0.004669999999999952
154809,Nippon,7.07285,6.96658,-0.10626999999999942
300322,Hallertau,7.07236,7.21218,0.13982000000000028
245934,Carpe Diem,7.07033,7.05341,-0.016919999999999824
121,Dune,7.06902,6.95068,-0.11833999999999989
71,Civilization,7.0687,6.98456,-0.08413999999999966
236191,London (Second Edition),7.06713,7.00901,-0.05811999999999973
54625,Space Hulk (Third Edition),7.06702,6.97059,-0.09643000000000068
243,Advanced Squad Leader,7.06699,6.94792,-0.11906999999999979
198773,Codenames: Pictures,7.06554,7.00219,-0.06335000000000068
166669,San Juan (Second Edition),7.0652,6.99194,-0.07326000000000032
195539,The Godfather: Corleone's Empire,7.06495,7.04471,-0.02023999999999937
244711,Newton,7.06309,7.03646,-0.02662999999999993
155987,Abyss,7.06094,7.06112,0.00017999999999940286
40354,Maria,7.06093,7.06381,0.0028800000000002157
124708,Mice and Mystics,7.06066,6.95978,-0.10088000000000008
260428,Pandemic: Fall of Rome,7.06061,7.0366,-0.024009999999999643
300531,Paleo,7.0576,7.3081,0.2504999999999997
194594,Dice Forge,7.0558,7.00926,-0.04653999999999936
161614,Stockpile,7.05404,6.96212,-0.09192
244271,Dice Throne: Season Two – Battle Chest,7.05392,7.15824,0.10432000000000041
15987,Arkham Horror,7.05369,7.01924,-0.03444999999999965
63628,The Manhattan Project,7.05124,6.95107,-0.10017000000000031
128271,Ginkgopolis,7.0507,7.06722,0.016519999999999868
66188,Fresco,7.05025,6.97452,-0.07573000000000008
55670,Macao,7.05007,6.96664,-0.0834299999999999
227224,The Red Cathedral,7.04956,7.33244,0.28288000000000046
197376,Charterstone,7.04633,6.89749,-0.14883999999999986
215311,Downforce,7.04369,7.00378,-0.03990999999999989
138161,Firefly: The Game,7.04349,6.9929,-0.05059000000000058
269210,Twice as Clever!,7.04337,7.03913,-0.004240000000000244
229220,Santa Maria,7.0426,6.97768,-0.06491999999999987
294484,Unmatched: Cobble & Fog,7.0424,7.37606,0.33366000000000007
47,Chinatown,7.04135,7.11085,0.06949999999999967
270633,Aeon's End: The New Age,7.04093,7.19123,0.15029999999999966
151347,Millennium Blades,7.04036,6.98485,-0.05550999999999995
215341,Thunderstone Quest,7.04007,6.95187,-0.08819999999999961
100901,Flash Point: Fire Rescue,7.03901,6.97188,-0.06713000000000058
267367,Suburbia: Collector's Edition,7.03551,6.9753,-0.06021000000000054
15985,Blood Bowl: Living Rulebook,7.03389,6.87272,-0.16117000000000026
111341,The Great Zimbabwe,7.03315,7.13418,0.10102999999999973
79828,A Few Acres of Snow,7.03153,6.9409,-0.09062999999999999
128671,Spartacus: A Game of Blood and Treachery,7.02964,6.99882,-0.030819999999999403
274960,Point Salad,7.02956,6.92745,-0.1021099999999997
304420,Bonfire,7.02914,7.07834,0.04919999999999991
96913,Lancaster,7.02747,6.94848,-0.07899000000000012
66362,Glen More,7.0243,6.94206,-0.08224000000000053
176396,Quadropolis,7.02324,6.94277,-0.08047000000000004
34219,Biblios,7.02276,6.99272,-0.030039999999999623
27162,Kingsburg,7.02275,6.96805,-0.054700000000000415
11170,Heroscape Master Set: Rise of the Valkyrie,7.01987,6.94872,-0.07115000000000027
192153,Pandemic: Reign of Cthulhu,7.01748,6.95912,-0.05835999999999952
105134,Risk Legacy,7.01568,6.90098,-0.11470000000000002
18833,Lord of the Rings: The Confrontation,7.01311,6.96655,-0.04656000000000038
92415,Skull,7.01299,7.01422,0.0012299999999996203
270844,Imperial Settlers: Empires of the North,7.01134,6.93257,-0.07876999999999956
